topic,source,target,relation,note
绝代双骄,万春流,小鱼儿,师父,
绝代双骄,万春流,燕南天,拯救,以“试验新医术”的名义将其救下。
绝代双骄,冯天雨,燕南天,追求宝藏,
绝代双骄,哈哈儿,小鱼儿,师父,
绝代双骄,哈哈儿,屠娇娇,杀死,被姘头屠娇娇咬死，临死前奋起全身力量压死屠娇娇。
绝代双骄,哈哈儿,燕南天,暗算,
绝代双骄,哈哈儿,白开心,杀死,在白开心差不多杀尽十大恶人时骗倒白开心，用暗器杀死他。
绝代双骄,啸云居士,燕南天,追求宝藏,
绝代双骄,孙天南,燕南天,追求宝藏,
绝代双骄,小鱼儿,张菁,调戏,遇上魔星小鱼儿，被他暗算戏弄、夺去初吻，企图追杀他报复。对小鱼儿有似有若无​​的情愫，却不了了之。
绝代双骄,小鱼儿,慕容九,玩弄,九姑娘因“親手殺死”的小魚兒死而復生，驚嚇過度而失憶。
绝代双骄,小鱼儿,桃花,好友,路见不平拔刀相助。
绝代双骄,小鱼儿,江别鹤,识破,识破江大侠真面目并公诸于众。
绝代双骄,小鱼儿,江玉郎,压制,年龄相仿但处处压制江玉郎。
绝代双骄,小鱼儿,海红珠,拯救,
绝代双骄,小鱼儿,白羊,毒死,
绝代双骄,小鱼儿,花无缺,孪生兄弟,
绝代双骄,小鱼儿,苏樱,丈夫,
绝代双骄,小鱼儿,萧咪咪,杀死,最后被小鱼儿以机关引水入殿，困在地下宫殿中溺死。
绝代双骄,小鱼儿,黄牛,毒死,
绝代双骄,屠娇娇,哈哈儿,地下情人，杀死,
绝代双骄,屠娇娇,小鱼儿,师父,
绝代双骄,屠娇娇,李大嘴,斗嘴,
绝代双骄,屠娇娇,燕南天,暗算,
绝代双骄,张菁,慕容九,好友,
绝代双骄,张菁,燕南天,寻宝,寻找母亲心上人燕南天宝藏。
绝代双骄,张菁,铁心兰,跟踪,追踪带着藏宝图的铁心兰到回疆。
绝代双骄,怜星,司晨客,杀死,
绝代双骄,怜星,小鱼儿,怜悯,最后不忍小鱼儿、花无缺两兄弟自相残杀，欲告知其真相。
绝代双骄,怜星,江枫,爱慕，逼死,
绝代双骄,怜星,花无缺,二宫主,怜爱并且差点说出真相。
绝代双骄,怜星,花月奴,二宫主，逼死,
绝代双骄,怜星,荷露,二宫主,
绝代双骄,怜星,黑面君,杀死,
绝代双骄,慕容七姑娘,慕容九,姐姐,
绝代双骄,慕容九,小鱼儿,报复,被小鱼儿撞破秘练化石神功，决心杀他报复。
绝代双骄,慕容九,顾人玉,冷落,练习的化石神功，须处女玄阴之体方能习之，所以一直不想嫁人。
绝代双骄,慕容五姑娘,慕容九,姐姐,
绝代双骄,慕容依,慕容九,姐姐,
绝代双骄,慕容八姑娘,慕容九,姐姐,
绝代双骄,慕容六姑娘,慕容九,姐姐,
绝代双骄,慕容双,慕容九,姐姐,
绝代双骄,慕容四姑娘,慕容九,姐姐,
绝代双骄,慕容珊珊,慕容九,姐姐,
绝代双骄,李大嘴,小鱼儿,师父,
绝代双骄,李大嘴,燕南天,暗算,
绝代双骄,李大嘴,铁无双,愧对,一直自认愧对铁无双，因此从未再对铁家人下毒手，也一直隐藏妻子不贞的事实，维护铁家的名声。
绝代双骄,李大嘴,铁萍姑,父亲,
绝代双骄,李大嘴,阴九幽,杀死,被濒死的李大嘴反扑而死。
绝代双骄,杜杀,小鱼儿,师父,
绝代双骄,杜杀,欧阳丁和欧阳当,追债，杀死,
绝代双骄,杜杀,燕南天,暗算,
绝代双骄,柳玉如,燕南天,追求宝藏,
绝代双骄,桃花,铁心兰,爱慕,爱上“铁心男”。
绝代双骄,欧阳丁和欧阳当,哈哈儿,欺骗,临死前却骗他们到魏无牙的秘处送死。
绝代双骄,欧阳丁和欧阳当,小鱼儿,欺骗,临死前却骗他们到魏无牙的秘处送死。
绝代双骄,欧阳丁和欧阳当,屠娇娇,欺骗,临死前却骗他们到魏无牙的秘处送死。
绝代双骄,欧阳丁和欧阳当,李大嘴,欺骗,临死前却骗他们到魏无牙的秘处送死。
绝代双骄,欧阳丁和欧阳当,杜杀,欺骗,临死前却骗他们到魏无牙的秘处送死。
绝代双骄,欧阳丁和欧阳当,江别鹤,欺骗,擅于二人扮作一人行骗，连精明如江别鹤也吃过他们的亏。
绝代双骄,段三姑,小鱼儿,招聘,赏识小鱼儿，招到旗下药铺当掌柜。
绝代双骄,段三姑,慕容九,妒忌,在谋陷江别鹤计中，因妒忌慕容九的美貌没有依小鱼儿说话去做，令小鱼儿功败垂成。
绝代双骄,段三姑,江别鹤,陷害,
绝代双骄,段合肥,段三姑,父亲,
绝代双骄,江别鹤,江枫,书童，出卖,
绝代双骄,江别鹤,江玉郎,父亲,
绝代双骄,江别鹤,燕南天,造谣,暗地里制造燕南天武经宝藏的谣言，设计江湖中人和峨嵋派自相残杀。
绝代双骄,江别鹤,花无缺,利用,利用花无缺和移花宫来“行侠仗义”。
绝代双骄,江别鹤,轩辕三光,欺骗,被江南大侠江别鹤折服，未战而认输。
绝代双骄,江枫,小鱼儿,父亲,
绝代双骄,江枫,江别鹤,书童,
绝代双骄,江枫,花无缺,父亲,
绝代双骄,江枫,花月奴,丈夫,
绝代双骄,江玉郎,路仲远,暗算,最终死于江别鹤之子江玉郎的诡计暗算之下。
绝代双骄,江玉郎,铁萍姑,欺骗,欺骗并失身。
绝代双骄,海红珠,小鱼儿,暗恋,
绝代双骄,燕南天,小鱼儿,救走,从邀月、怜星手下救走小鱼儿。
绝代双骄,燕南天,杜杀,伤害,燕南天闯入恶人谷中时，燕南天打断杜杀右臂。
绝代双骄,燕南天,江别鹤,废去武功,最后燕南天重出江湖，废去江别鹤父子全身武功。
绝代双骄,燕南天,江枫,结拜兄弟,结拜为异姓兄弟，燕南天为兄，江枫为弟。
绝代双骄,燕南天,江玉郎,废去武功,最后燕南天重出江湖，废去江别鹤父子全身武功。
绝代双骄,燕南天,献果神君,挖双眼,
绝代双骄,燕南天,路仲远,好友,燕南天授以独创绝学〈神剑诀〉，之后借用燕南天之名复出江湖。
绝代双骄,燕南天,黑犬星,杀死,
绝代双骄,猫头鹰,碧蛇神君,杀死,
绝代双骄,献果神君,沈轻虹,生活,和沈轻虹于山壁洞窟生活。
绝代双骄,玉娘子,张菁,母亲,
绝代双骄,王一抓,燕南天,追求宝藏,
绝代双骄,白山君,花无缺,战平,
绝代双骄,白山君,马亦云,前夫,
绝代双骄,白开心,屠娇娇,杀死,最后被诈死的白开心一掌击毙。
绝代双骄,白开心,杜杀,算计,
绝代双骄,白开心,苏樱,暗恋,
绝代双骄,白开心,马亦云,丈夫，杀死,
绝代双骄,白羊,慕容九,遇见,在慕容九妹秘密练功之冰洞外。
绝代双骄,碧蛇神君,小鱼儿,追杀,为抢夺藏宝图曾经追杀小鱼儿，并胁迫小鱼儿带他去藏宝地点。
绝代双骄,神锡道长,燕南天,追求宝藏,
绝代双骄,胡药师,铁萍姑,夫妻,最后她​​被江玉郎抛弃，心灰意冷，和日久生情的十二星相胡药师在一起。
绝代双骄,花无缺,小鱼儿,放过,多次放过小鱼儿。
绝代双骄,花无缺,慕容九,拯救,
绝代双骄,花无缺,铁心兰,喜欢,认定铁心兰是一生刻骨铭心的爱人，弱水三千，他只取一瓢。
绝代双骄,花月奴,小鱼儿,母亲,
绝代双骄,花月奴,花无缺,母亲,
绝代双骄,苏樱,小鱼儿,爱慕,
绝代双骄,苏樱,江玉郎,惩治,对贪图其美色与试图诱取“移花接玉”秘密的江玉郎将计就计，下毒制服惩治。
绝代双骄,苏樱,铁心兰,救活,
绝代双骄,苏樱,马亦云,惩治,以痒粉报复偷走花无缺的白夫人，以示惩戒。
绝代双骄,荷露,花无缺,服侍,
绝代双骄,萧咪咪,献果神君,害死,被骗坠崖。
绝代双骄,赵全海,燕南天,追求宝藏,
绝代双骄,路仲远,杜杀,击败,
绝代双骄,路仲远,燕南天,假扮,借用燕南天之名复出江湖，震慑恶人谷众人并寻找小鱼儿。
绝代双骄,轩辕三光,小鱼儿,收养,
绝代双骄,轩辕三光,江玉郎,收养,
绝代双骄,轩辕三光,轩辕三光,赌博,
绝代双骄,邀月,怜星,姐姐，杀死,
绝代双骄,邀月,江枫,逼死,
绝代双骄,邀月,花无缺,大宫主,一直利用作为复仇江枫的工具。
绝代双骄,邀月,花月奴,大宫主，逼死,
绝代双骄,邀月,苏樱,模板,自小被魏无牙放在手心中呵护，视若珍宠，模仿移花宫主养成自视甚高，孤僻无情的性情。
绝代双骄,邀月,荷露,大宫主,
绝代双骄,邱清波,燕南天,追求宝藏,
绝代双骄,铁心兰,小鱼儿,拯救,为解救被花无缺追杀的小鱼儿，牺牲清白。
绝代双骄,铁心兰,花无缺,爱慕,
绝代双骄,铁战,铁心兰,父亲,
绝代双骄,铁无双,李大嘴,岳父,
绝代双骄,铁萍姑,小鱼儿,拯救,曾救小鱼儿出邀月手中。
绝代双骄,阴九幽,小鱼儿,师父,
绝代双骄,阴九幽,燕南天,暗算,
绝代双骄,阴九幽,白开心,合谋,
绝代双骄,阴九幽,马亦云,合谋,
绝代双骄,顾人玉,张菁,丈夫,和张菁渐生情愫，二人终成眷属。
绝代双骄,顾人玉,慕容九,追求,受母命追求慕容九。
绝代双骄,马亦云,杜杀,算计杀死,最后被十二星相中白山君的夫人马亦云和白开心算计，被马亦云暗算身亡。
绝代双骄,魏无牙,怜星,爱慕,
绝代双骄,魏无牙,苏樱,养父,
绝代双骄,魏无牙,路仲远,击败,败在“十二星相”之首（鼠）魏无牙的诡异招式后绝迹江湖十余年。
绝代双骄,魏无牙,邀月,爱慕,
