topic,name,weight,note,image_name
1Q84,NHK收款员,0.0235456,没有出现真面目，只是常常去骚扰躲藏或潜伏中的“青豆”、“牛河”。文中暗示是“天吾”父亲的意识在起作用。,
1Q84,Tamaru,0.0343008,田丸健一，约40岁左右。双亲为朝鲜人，曾为日本自卫队队员，在基督教徒的孤儿院长大。现为替柳宅女主人做事专业的保镖，行事专业，干净利落。Tamaru是一名男同性恋者，帮助“青豆”找到了天吾。,
1Q84,中野亚由美,0.0203062,约26岁左右，女警，儿时被家人性侵，与“青豆”在酒店中相识，“青豆”因感觉其像幼年好友大冢环而与其结为伙伴。中野亚由美后在情侣宾馆中身亡。,
1Q84,副校长,0.0205163,女，利川市小学的副校长，给“牛河”提供了“青豆”和“天吾”小时候的情报。,
1Q84,大冢环,0.0203062,“青豆”的中学垒球队队长，“青豆”的闺蜜，婚后受家暴在26岁自杀身亡。,
1Q84,天吾父亲,0.0600817,曾在年轻时至大陆东北开垦，并于日本战败后回日本任职利川市NHK收费员，年老时因阿兹海默症（俗称老年痴呆症）而住进千沧县的疗养院。去世以前自己安排了后事，最终没有告诉“天吾”想知道的真相。,
1Q84,太田俊江,0.0338402,以前是利川市小学的教师，“青豆”和“天吾”三四年级时的老师，于“天吾”小学时调解过“天吾”与父亲之间的问题。后来在志野市市立小学教书，被“牛河”所骗，为“牛河”提供了一些“青豆”和“天吾”小时候的情报。,
1Q84,安田恭子,0.0200557,约40岁，已婚，育有二子。与“天吾”两人作为情人关系长达一年。后丧失。,
1Q84,安达护士,0.0235456,疗养院照顾“天吾”父亲的三位护士之一。在“天吾”探视期间与“天吾”的关系渐渐亲密，在“天吾”父亲火葬的时候陪伴“天吾”，最后暗示“天吾”逃离这个世界。,
1Q84,小小人,0.033428,“空气蛹”的制造者，为先驱教团传递“声音”。身高可以随意变化，但是最矮不低于3厘米，最高不过1米。,
1Q84,小松祐二,0.0200557,约40岁，“天吾”的编辑，看好“天吾”的作家潜力。小松一手策划《空气蛹》的改写与发行，后被“先驱”的人劫持，被迫同意放弃出版《空气蛹》。,
1Q84,川奈天吾,0.127381,30岁，书中的男性主要角色。“天吾”长得人高马大，但是性格谨小慎微，大学毕业后不结婚，只找性伴侣和做自由职业，过着碌碌无为的生活。,
1Q84,戎野隆之,0.0518968,与“深田保”为大学同事，受托照顾10岁的“深绘里”7年，是一位文化学者，积极探查“先驱”与“深田”失联的真相。,
1Q84,深山,0.0203062,一中产阶级商人，故事初被“青豆”暗杀的家暴者。,
1Q84,深田保,0.0657001,“深绘里”的父亲，年轻时为日本学运份子，1Q84年身为宗教组织“先驱”的领袖和教主，“青豆”的暗杀对象。“深田保”在好友戎野眼里是一个睿智、有理想、抱负和行动力的男人。但老夫人却查出他是强奸十岁幼女阿翼的罪魁祸首。他的恶行是为了维持平衡不得已而为之，为此他后来还主动请死。这样一个恶人形象成功地转型为某种程度上的受害者形象，甚至是圣人形象。善恶在此又一次模糊了界限。,
1Q84,深田绘里子,0.0629279,17岁，《空气蛹》的原作者，有阅读障碍，感知力强。“深绘里”是“先驱”领袖的女儿，因感知到小小人而藏身于“天吾”的家里，在发现被“牛河”监视后离开“天吾”家失踪。据说“深绘里”回到了二娱尾山的老师家里，她的使命是作为“天吾”和“青豆”的物理连接体。,
1Q84,牛河利治,0.0658566,长相丑陋引人注意。“牛河”声称为”新日本学术艺术振兴会的理事“，实则是自由情报调查员。“牛河”在有人向“先驱”推荐“青豆”为领袖做肌肉放松时，为“先驱”教团进行关于“青豆”的调查并确认其安全。领袖被杀后他难辞其咎，开始协助“先驱”追捕“青豆”，并发现了“天吾”和“青豆”的关系。“牛河”在跟踪“天吾”和“深绘里”的时候身份暴露被Tamaru杀死。,
1Q84,稳田,0.040745,“先驱”组织的保卫队头目，光头，负责保护领袖。领袖死后稳田负责寻找“青豆”，“牛河”与他直接联系，他劫持过小松。,
1Q84,绪方静惠,0.0404695,老夫人，柳宅的“女主人”，名绪方静慧，曾育有一儿一女。“女主人”有才华、智慧、雄厚的资金与人脉。绪方静慧设立了暴力受害女性咨询室和庇护所，并在必要时对家庭暴力者进行有策划地暗杀。“女主人”因亲生女儿不堪忍受家庭暴力自杀而将女婿变成了行尸走肉般的存在，同时成为“青豆”实施暗杀行动的幕后老板。老夫人在其善良温和的外表下却有着疯狂的意识和行为。,
1Q84,阿翼,0.0237206,女主人从宗教团体“先驱”中救回的10岁女童，于柳宅失踪。,
1Q84,青豆雅美,0.145949,30岁，书中的女性主要角色，有善恶双重人格：一面帮助现实中的众生获得健康的身心与体魄，另外一面蔑视法律条文的约束，无情地剥夺他人的生命。,
1Q84,马尾,0.0238391,稳田的部下，一个沉默寡言但直觉敏锐的人，曾在“青豆”谋杀领袖时险些抓住“青豆”。,
