topic,source,target,relation,note
子弹列车,大黄蜂,狼,下毒,在婚礼下毒，毒死狼的妻子。
子弹列车,木村,瓦塔鲁,父亲,
子弹列车,柠檬,珀西,护送,
子弹列车,橘子,柠檬,兄弟,
子弹列车,橘子,珀西,护送,
子弹列车,王子,木村,要挟,派人到木村儿子病房外，要挟木村一起见父亲。
子弹列车,王子,珀西,杀死,因为妒忌哥哥，在列车上就杀死。
子弹列车,王子,瓦塔鲁,伤害,从高楼推下导致重伤。
子弹列车,王子,白死神,害死,给力父亲做手脚的枪，最后导致父亲开枪死亡。
子弹列车,玛丽亚,瓢虫,经理人,
子弹列车,珀西,王子,哥哥,
子弹列车,瓢虫,卡弗,顶替,因胃痛所以顶替。
子弹列车,瓢虫,大黄蜂,杀死,抢走唯一的蛇毒药清。
子弹列车,瓢虫,柠檬,下药,在柠檬的水里下药，导致后者关键时刻晕倒。
子弹列车,瓢虫,橘子,求和,被杀手追上，希望求和，最后把对方踢出车外。
子弹列车,瓢虫,狼,杀死,子弹反弹误杀。
子弹列车,白死神,卡弗,邀请,因为卡弗开车撞死妻子。
子弹列车,白死神,柠檬,邀请,因为保护妻子的手下都被杀。
子弹列车,白死神,橘子,邀请,因为保护妻子的手下都被杀。
子弹列车,白死神,王子,父亲,
子弹列车,白死神,珀西,父亲,
子弹列车,白死神,瓢虫,误认,误以为瓢虫是卡弗，想要开枪打死。
子弹列车,锋岸,白死神,领导,
子弹列车,锋岸,长老,领导,
子弹列车,长老,木村,父亲,
子弹列车,长老,白死神,复仇,因为领导被杀，一直找机会要复仇。
