topic,source,target,relation,note
Pantheon(TV series),Cary,Caspian,Fake father,
Pantheon(TV series),Caspian,Maddie,Help,Help to decode the message from her father.
Pantheon(TV series),Caspian,Stephen Holstrom,Clone,Caspian is the cell-level clone of Holstrom.
Pantheon(TV series),Cody,Laurie,Husband,
Pantheon(TV series),David,Ellen,Wife,
Pantheon(TV series),David,Maddie,Father,
Pantheon(TV series),David,Waxman,Friend,
Pantheon(TV series),Ellen,Maddie,Mother,
Pantheon(TV series),Gabe,Ellen,Boyfriend,
Pantheon(TV series),Hannah,Caspian,Fake girlfriend,
Pantheon(TV series),Justine,Maddie,Help,
Pantheon(TV series),Laurie,David,Save and awakening,
Pantheon(TV series),Pope,Cary,Leader,
Pantheon(TV series),Pope,Prasad,Compete,Tow companies are researching on UI.
Pantheon(TV series),Prasad,Chanda,Boss,
Pantheon(TV series),Renee,Cary,Fake wife,
Pantheon(TV series),Renee,Caspian,Fake mother,
Pantheon(TV series),Samara,Maddie,Bully,
Pantheon(TV series),Stephen Holstrom,Pope,Leader,
